Entity,Code,Year,Fixed telephone subscriptions (per 100 people),"GDP per capita, PPP (constant 2017 international $)","Total population (Gapminder, HYDE & UN)",Continent
Åland Islands,ALA,2015,,,,Europe
Abkhazia,OWID_ABK,2015,,,,Asia
Afghanistan,AFG,1900,,,4832414,
Afghanistan,AFG,1901,,,4879685,
Afghanistan,AFG,1902,,,4935122,
Afghanistan,AFG,1903,,,4998861,
Afghanistan,AFG,1904,,,5063419,
Afghanistan,AFG,1905,,,5128808,
Afghanistan,AFG,1906,,,5195038,
Afghanistan,AFG,1907,,,5262120,
Afghanistan,AFG,1908,,,5330065,
Afghanistan,AFG,1909,,,5467828,
Afghanistan,AFG,1910,,,5681487,
Afghanistan,AFG,1911,,,5977589,
Afghanistan,AFG,1912,,,6363186,
Afghanistan,AFG,1913,,,6845878,
Afghanistan,AFG,1914,,,7365181,
Afghanistan,AFG,1915,,,7923871,
Afghanistan,AFG,1916,,,8524936,
Afghanistan,AFG,1917,,,9171589,
Afghanistan,AFG,1918,,,9875230,
Afghanistan,AFG,1919,,,10338650,
Afghanistan,AFG,1920,,,10558857,
Afghanistan,AFG,1921,,,10531818,
Afghanistan,AFG,1922,,,10252425,
Afghanistan,AFG,1923,,,9714452,
Afghanistan,AFG,1924,,,9204707,
Afghanistan,AFG,1925,,,8721710,
Afghanistan,AFG,1926,,,8264058,
Afghanistan,AFG,1927,,,7830419,
Afghanistan,AFG,1928,,,7419535,
Afghanistan,AFG,1929,,,7099916,
Afghanistan,AFG,1930,,,6866773,
Afghanistan,AFG,1931,,,6715569,
Afghanistan,AFG,1932,,,6642004,
Afghanistan,AFG,1933,,,6642004,
Afghanistan,AFG,1934,,,6642004,
Afghanistan,AFG,1935,,,6642004,
Afghanistan,AFG,1936,,,6642004,
Afghanistan,AFG,1937,,,6642004,
Afghanistan,AFG,1938,,,6642004,
Afghanistan,AFG,1939,,,6662371,
Afghanistan,AFG,1940,,,6703416,
Afghanistan,AFG,1941,,,6765457,
Afghanistan,AFG,1942,,,6848816,
Afghanistan,AFG,1943,,,6953820,
Afghanistan,AFG,1944,,,7060433,
Afghanistan,AFG,1945,,,7168681,
Afghanistan,AFG,1946,,,7278589,
Afghanistan,AFG,1947,,,7390182,
Afghanistan,AFG,1948,,,7503485,
Afghanistan,AFG,1949,,,7624058,
Afghanistan,AFG,1950,,,7752117,
Afghanistan,AFG,1951,,,7840151,
Afghanistan,AFG,1952,,,7935996,
Afghanistan,AFG,1953,,,8039684,
Afghanistan,AFG,1954,,,8151316,
Afghanistan,AFG,1955,,,8270992,
Afghanistan,AFG,1956,,,8398873,
Afghanistan,AFG,1957,,,8535157,
Afghanistan,AFG,1958,,,8680097,
Afghanistan,AFG,1959,,,8833947,
Afghanistan,AFG,1960,0.08558434,,8996967,
Afghanistan,AFG,1961,0.0855843,,9169406,
Afghanistan,AFG,1962,0.0855843,,9351442,
Afghanistan,AFG,1963,0.0855843,,9543200,
Afghanistan,AFG,1964,0.0855843,,9744772,
Afghanistan,AFG,1965,0.093408006,,9956318,
Afghanistan,AFG,1966,0.093408,,10174840,
Afghanistan,AFG,1967,0.093408,,10399936,
Afghanistan,AFG,1968,0.093408,,10637064,
Afghanistan,AFG,1969,0.093408,,10893772,
Afghanistan,AFG,1970,0.143194135,,11173654,
Afghanistan,AFG,1971,0.143194,,11475450,
Afghanistan,AFG,1972,0.143194,,11791222,
Afghanistan,AFG,1973,0.143194,,12108963,
Afghanistan,AFG,1974,0.143194,,12412960,
Afghanistan,AFG,1975,0.16943596,,12689164,
Afghanistan,AFG,1976,0.171520053,,12943093,
Afghanistan,AFG,1977,0.168548206,,13171294,
Afghanistan,AFG,1978,0.189638142,,13341199,
Afghanistan,AFG,1979,0.18865032,,13411060,
Afghanistan,AFG,1980,0.193164218,,13356500,
Afghanistan,AFG,1981,0.240667985,,13171679,
Afghanistan,AFG,1982,0.217348645,,12882518,
Afghanistan,AFG,1983,0.231301839,,12537732,
Afghanistan,AFG,1984,0.245815161,,12204306,
Afghanistan,AFG,1985,0.259670463,,11938204,
Afghanistan,AFG,1986,0.272661145,,11736177,
Afghanistan,AFG,1987,0.284371609,,11604538,
Afghanistan,AFG,1988,0.292649211,,11618008,
Afghanistan,AFG,1989,0.294888893,,11868873,
Afghanistan,AFG,1990,0.291646002,,12412311,
Afghanistan,AFG,1991,0.278216052,,13299016,
Afghanistan,AFG,1992,0.200199564,,14485543,
Afghanistan,AFG,1993,0.183351634,,15816601,
Afghanistan,AFG,1994,0.169831715,,17075728,
Afghanistan,AFG,1995,0.160126714,,18110662,
Afghanistan,AFG,1996,0.153818108,,18853444,
Afghanistan,AFG,1997,0.149815629,,19357126,
Afghanistan,AFG,1998,0.146926463,,19737770,
Afghanistan,AFG,1999,0.143771872,,20170847,
Afghanistan,AFG,2000,0.139557582,,20779957,
Afghanistan,AFG,2001,0.134215838,,21606992,
Afghanistan,AFG,2002,0.146233956,1189.784668,22600774,
Afghanistan,AFG,2003,0.154977408,1235.810063,23680871,
Afghanistan,AFG,2004,,1200.278013,24726689,
Afghanistan,AFG,2005,,1286.793659,25654274,
Afghanistan,AFG,2006,,1315.789117,26433058,
Afghanistan,AFG,2007,,1460.825751,27100542,
Afghanistan,AFG,2008,,1484.114461,27722281,
Afghanistan,AFG,2009,0.01806668,1758.904477,28394806,
Afghanistan,AFG,2010,0.056946073,1957.02907,29185511,
Afghanistan,AFG,2011,0.04485445,1904.559926,30117411,
Afghanistan,AFG,2012,0.288873636,2075.491614,31161378,
Afghanistan,AFG,2013,0.296777873,2116.465258,32269592,
Afghanistan,AFG,2014,0.305449729,2102.384604,33370803,
Afghanistan,AFG,2015,0.319641044,2068.265904,34413603,Asia
Afghanistan,AFG,2016,0.322730963,2057.067978,35383028,
Afghanistan,AFG,2017,0.327222367,2058.400221,36296111,
Afghanistan,AFG,2018,0.343791756,2033.804389,37171922,
Afghanistan,AFG,2019,0.353916384,2065.036235,38041757,
Afghanistan,AFG,2020,,1978.961579,38928341,
Afghanistan,AFG,2021,,,39835428,
Africa,,1900,,,138827369,
